Position,Time,ACCX,ACCY,ACCZ,GyrY,GyrP,GyrR,Class,Person
54,18.06.2015 15:49:31:061,424.0,389.0,152.0,308.0,241.0,123.0,Punch,Christian
55,18.06.2015 15:49:31:164,137.0,479.0,346.0,505.0,497.0,305.0,Punch,Christian
56,18.06.2015 15:49:31:269,0.0,509.0,445.0,489.0,362.0,253.0,Punch,Christian
57,18.06.2015 15:49:31:374,389.0,340.0,104.0,412.0,251.0,58.0,Punch,Christian
58,18.06.2015 15:49:31:477,306.0,387.0,293.0,466.0,353.0,286.0,Punch,Christian
59,18.06.2015 15:49:31:579,463.0,179.0,157.0,260.0,439.0,312.0,Punch,Christian
60,18.06.2015 15:49:31:683,104.0,103.0,15.0,485.0,212.0,230.0,Punch,Christian
61,18.06.2015 15:49:31:786,344.0,145.0,475.0,331.0,453.0,369.0,Punch,Christian
62,18.06.2015 15:49:31:889,157.0,382.0,82.0,62.0,299.0,62.0,Punch,Christian
63,18.06.2015 15:49:31:994,219.0,477.0,79.0,277.0,388.0,130.0,Punch,Christian
64,18.06.2015 15:49:32:096,253.0,229.0,147.0,238.0,110.0,154.0,Punch,Christian
